# notes:
# this table was generated applying 10^r to the second column
# because the data was log10(N_e/N_A)
# the negative points were symmetrized to interpolate zero radius
#
#  raio          N_e / N_A
 0.0031313   1.0288593294e+02
 0.0031388   1.0288569604e+02
 0.0031486   1.0288522223e+02
 0.0031584   1.0288498533e+02
 0.0031671   1.0288474843e+02
 0.0031758   1.0288427463e+02
 0.0031844   1.0288403773e+02
 0.0031930   1.0288380083e+02
 0.0032015   1.0288356393e+02
 0.0032100   1.0288309014e+02
 0.0032185   1.0288285324e+02
 0.0032269   1.0288261635e+02
 0.0032372   1.0288214255e+02
 0.0032475   1.0288190566e+02
 0.0032577   1.0288143187e+02
 0.0032678   1.0288119498e+02
 0.0032779   1.0288072120e+02
 0.0032879   1.0288048430e+02
 0.0032979   1.0288001052e+02
 0.0033078   1.0287953674e+02
 0.0033169   1.0287929986e+02
 0.0033260   1.0287906297e+02
 0.0033351   1.0287858919e+02
 0.0033441   1.0287835231e+02
 0.0033530   1.0287787853e+02
 0.0033619   1.0287764165e+02
 0.0033708   1.0287740477e+02
 0.0033796   1.0287693100e+02
 0.0033904   1.0287669412e+02
 0.0034012   1.0287622035e+02
 0.0034119   1.0287574659e+02
 0.0034225   1.0287527283e+02
 0.0034331   1.0287503595e+02
 0.0034436   1.0287456220e+02
 0.0034540   1.0287408844e+02
 0.0034644   1.0287385157e+02
 0.0034740   1.0287337782e+02
 0.0034835   1.0287314094e+02
 0.0034930   1.0287266720e+02
 0.0035024   1.0287219345e+02
 0.0035118   1.0287195658e+02
 0.0035211   1.0287148284e+02
 0.0035304   1.0287124597e+02
 0.0035396   1.0287077223e+02
 0.0035510   1.0287029849e+02
 0.0035622   1.0287006162e+02
 0.0035734   1.0286958789e+02
 0.0035845   1.0286911416e+02
 0.0035956   1.0286864043e+02
 0.0036066   1.0286816671e+02
 0.0036175   1.0286769298e+02
 0.0036284   1.0286721926e+02
 0.0036400   1.0286674554e+02
 0.0036515   1.0286650868e+02
 0.0036630   1.0286603496e+02
 0.0036744   1.0286556125e+02
 0.0036857   1.0286508754e+02
 0.0036970   1.0286461383e+02
 0.0037082   1.0286414012e+02
 0.0037193   1.0286366641e+02
 0.0037313   1.0286319271e+02
 0.0037431   1.0286271901e+02
 0.0037549   1.0286224531e+02
 0.0037666   1.0286177161e+02
 0.0037782   1.0286106107e+02
 0.0037897   1.0286058738e+02
 0.0038012   1.0286011369e+02
 0.0038126   1.0285964000e+02
 0.0038248   1.0285916632e+02
 0.0038370   1.0285869263e+02
 0.0038491   1.0285821895e+02
 0.0038610   1.0285774527e+02
 0.0038730   1.0285703476e+02
 0.0038848   1.0285656109e+02
 0.0038966   1.0285608742e+02
 0.0039083   1.0285561375e+02
 0.0039208   1.0285514008e+02
 0.0039333   1.0285442959e+02
 0.0039456   1.0285395592e+02
 0.0039579   1.0285348227e+02
 0.0039702   1.0285300861e+02
 0.0039823   1.0285229813e+02
 0.0039944   1.0285182448e+02
 0.0040064   1.0285135083e+02
 0.0040192   1.0285064036e+02
 0.0040320   1.0285016671e+02
 0.0040447   1.0284969307e+02
 0.0040573   1.0284898262e+02
 0.0040698   1.0284850898e+02
 0.0040823   1.0284779853e+02
 0.0040947   1.0284732490e+02
 0.0041070   1.0284685127e+02
 0.0041201   1.0284614083e+02
 0.0041332   1.0284543040e+02
 0.0041462   1.0284495678e+02
 0.0041592   1.0284424635e+02
 0.0041720   1.0284377274e+02
